X,Y
56,876
63,877
66,877
65,877
45,867
-44,846
-35,847
-21,846
-7,838
9,857
46,874
71,881
93,884
124,883
162,884
208,888
244,892
273,895
295,896
309,897
317,898
323,902
324,905
328,908
327,910
327,908
330,908
329,907
326,907
327,907
328,906
327,906
252,879
302,889
317,895
321,896
324,896
324,896
323,896
322,896
322,898
325,898
333,897
335,897
334,898
333,898
333,898
333,899
332,899
332,899
332,899
333,899
332,898
332,899
332,898
332,898
332,893
332,885
333,878
337,869
346,857
359,845
370,838
384,833
402,824
422,817
443,817
461,822
491,825
509,831
537,850
570,869
597,888
622,897
642,898
671,896
697,896
743,906
782,909
812,913
837,913
859,911
878,911
887,911
895,912
897,916
899,919
902,920
898,919
899,919
897,918
897,918
898,917
898,917
894,917
896,917
811,884
879,893
891,900
893,905
897,909
897,909
896,911
895,911
894,913
899,914
910,913
908,911
908,912
906,913
905,914
905,916
905,918
904,918
903,918
903,917
903,915
903,915
903,914
903,912
903,905
903,896
903,886
907,877
918,867
933,856
947,848
959,843
976,837
1002,837
1025,837
1048,840
1069,841
1095,852
1122,867
1135,877
1162,884
1188,888
1208,890
1230,898
1256,905
1287,907
1317,909
1337,907
1356,907
1369,907
1377,907
1378,911
1380,914
1384,915
1384,915
1386,915
1386,915
1385,915
1382,914
1383,914
1380,914
1381,914
1380,915
1380,916
1381,916
1380,916
1380,918
1381,919
1383,918
1383,916
1383,915
1383,914
1383,914
1384,914
1390,914
1391,913
1393,913
1392,913
1392,913
1391,913
1389,914
1388,914
1387,914
1386,913
1385,912
1385,912
1385,911
1386,907
1386,900
1386,897
1390,890
1394,883
1400,873
1414,862
1431,853
1454,846
1470,840
1494,849
1507,845
1524,850
1540,859
1552,867
1570,871
1597,881
1612,881
1624,886
1635,889
1663,897
1690,904
1712,904
1730,902
1745,901
1759,902
1768,903
1772,905
1776,908
1774,908
1775,909
1778,909
1779,908
1781,908
1781,908
1782,908
1782,908
1781,908
1779,908
1778,908
1777,908
1777,908
1778,908
1778,909
1778,909
1778,909
1778,909
1778,907
1779,907
1781,906
1781,906
1781,905
1781,907
1779,913
1779,915
1780,915
1781,914
1783,914
1782,909
1781,908
1782,907
1782,907
1781,906
1781,903
1781,903
1781,904
1783,904
1785,901
1785,901
1788,898
1785,899
1784,898
1784,897
1784,894
1784,893
1785,892
1785,891
1785,887
1785,886
1785,886
1785,883
1791,882
1794,882
1802,882
1805,883
1814,884
1823,882
1831,882
1836,882
1844,878
1853,875
1857,873
1857,872
1860,872
1862,872
1860,873
1865,873
