X,Y
1939,871
1939,874
1921,875
1912,875
1906,876
1901,878
1878,881
1863,877
1845,877
1832,877
1819,877
1809,879
1797,884
1786,889
1784,889
1782,889
1782,889
1781,890
1781,891
1780,890
1780,890
1780,891
1780,892
1780,892
1779,893
1776,893
1776,892
1776,892
1776,893
1775,892
1775,890
1775,887
1773,888
1773,886
1773,883
1775,883
1777,882
1781,880
1785,875
1787,874
1786,874
1784,875
1784,876
1781,876
1773,877
1772,885
1770,884
1655,881
1637,881
1758,878
1778,878
1779,879
1781,880
1784,881
1786,881
1786,882
1785,883
1784,883
1783,882
1783,882
1783,881
1783,876
1782,870
1782,864
1779,855
1773,846
1765,838
1758,835
1750,834
1736,833
1717,834
1668,860
1691,846
1679,844
1657,848
1642,859
1623,875
1606,883
1592,880
1561,880
1534,882
1516,884
1496,890
1474,891
1463,891
1450,891
1441,891
1436,892
1435,894
1432,895
1431,896
1430,898
1434,900
1435,900
1433,901
1433,901
1433,900
1432,900
1432,899
1432,898
1431,898
1432,898
1431,898
1431,898
1429,897
1429,896
1429,889
1437,874
1434,877
1433,875
1433,875
1434,876
1432,877
1424,878
1422,878
1422,879
1423,883
1399,890
1406,890
1296,888
1408,888
1426,888
1430,889
1431,889
1432,889
1434,889
1435,890
1435,890
1435,890
1434,890
1433,889
1432,886
1432,882
1432,878
1432,872
1427,863
1422,854
1418,846
1414,843
1405,838
1394,834
1384,833
1369,835
1334,855
1318,855
1312,851
1298,851
1277,864
1257,878
1236,884
1215,881
1191,884
1162,891
1138,897
1115,901
1093,903
1074,904
1063,902
1052,901
1045,900
1043,900
1042,902
1039,904
1036,905
1034,907
1036,907
1037,907
1037,907
1038,907
1038,907
1037,907
1034,906
1035,906
1036,906
1036,906
1035,906
1035,906
1036,906
1036,904
1038,898
1038,894
1038,892
1038,893
1039,891
1040,890
1040,890
1032,891
1023,891
1024,893
1014,894
1024,897
1031,898
1033,899
1035,900
1037,901
1038,901
1038,901
1038,901
1038,901
1039,901
1039,901
1039,900
1038,899
1037,898
1037,896
1037,895
1037,894
1037,892
1036,888
1034,884
1031,881
1028,878
1025,872
1022,865
1018,857
1012,851
1002,848
993,845
982,842
974,842
961,844
947,846
931,846
904,856
878,868
863,875
845,884
828,885
806,889
779,891
759,895
738,900
720,903
703,905
690,905
680,905
673,905
669,906
668,907
667,908
665,909
666,909
666,909
664,909
664,909
664,909
664,909
665,909
666,909
665,909
665,909
665,909
665,909
665,909
664,909
664,909
664,908
663,907
662,908
662,908
662,906
664,903
670,897
671,896
673,897
671,897
665,897
660,898
657,899
658,899
665,899
669,901
670,902
670,904
670,905
670,906
670,906
672,906
673,906
673,906
673,906
673,906
673,905
672,904
672,902
671,899
670,895
668,891
666,886
662,880
658,873
653,863
646,857
471,888
477,897
501,855
520,843
561,841
570,842
560,842
528,844
507,850
486,865
470,875
451,886
427,887
401,891
377,893
352,899
327,906
307,910
289,911
273,910
264,910
259,910
258,911
256,913
255,915
252,915
251,916
250,916
249,915
252,915
253,915
254,915
254,916
254,916
254,915
253,915
252,914
252,914
253,913
253,912
252,912
252,911
251,911
251,911
252,910
252,910
255,910
264,906
267,905
266,904
261,904
254,905
245,906
242,906
236,907
239,906
248,906
251,906
256,906
257,906
258,906
260,906
261,906
263,907
263,907
263,907
263,907
261,907
260,907
260,906
260,904
260,900
259,897
259,893
256,891
254,887
253,885
251,882
246,877
241,871
236,862
229,857
226,851
221,848
212,847
202,848
185,849
164,851
148,855
132,859
119,871
101,871
92,881
81,888
45,870
46,819
46,874
42,875
40,880
36,885
32,842
19,829
23,812
25,804
27,801
