X,Y
1833,856
1899,771
1910,752
1909,725
1919,764
1934,779
1943,817
1933,835
1921,829
1916,829
1902,835
1880,841
1865,849
1852,852
1843,856
1833,861
1825,860
1817,861
1803,866
1778,873
1763,876
1758,877
1739,874
1732,873
1728,873
1723,871
1719,869
1721,869
1720,871
1720,873
1720,873
1720,875
1719,877
1718,877
1717,878
1716,878
1717,881
1717,882
1717,882
1717,882
1717,883
1717,883
1717,883
1717,884
1717,880
1717,876
1717,875
1719,870
1723,869
1723,867
1723,867
1722,867
1721,867
1719,867
1716,867
1712,867
1712,867
1712,867
1713,868
1713,871
1714,872
1715,874
1716,876
1716,879
1718,879
1719,880
1719,880
1719,879
1720,878
1721,878
1721,876
1722,874
1722,871
1723,868
1723,864
1721,862
1719,859
1716,854
1711,848
1705,841
1698,834
1690,833
1680,829
1670,828
1661,827
1653,828
1641,829
1610,841
1597,868
1576,861
1563,866
1556,875
1546,876
1536,876
1508,875
1484,891
1461,885
1453,882
1437,884
1423,886
1410,889
1408,891
1408,891
1411,892
1411,892
1411,892
1413,893
1412,893
1410,893
1408,893
1407,894
1406,894
1404,895
1402,895
1400,895
1398,895
1397,894
1397,894
1397,889
1398,890
1398,886
1402,882
1405,883
1405,883
1402,883
1402,883
1394,882
1392,882
1390,882
1392,884
1396,886
1399,888
1400,890
1402,890
1403,891
1404,892
1404,892
1404,892
1404,892
1404,891
1405,889
1405,888
1407,886
1408,884
1408,882
1409,879
1409,874
1408,866
1401,860
1390,851
1382,845
1374,839
1365,831
1357,827
1347,823
1334,822
1317,823
1285,832
1267,841
1255,849
1248,862
1233,869
1222,874
1209,876
1186,894
1165,906
1139,895
1119,893
1104,895
1091,894
1081,893
1077,892
1077,892
1074,893
1073,892
1074,893
1077,894
1076,895
1075,897
1074,898
1073,898
1075,899
1075,899
1073,899
1074,899
1072,899
1071,899
1068,899
1067,898
1068,889
1069,886
1069,886
1069,886
1074,887
1077,885
1077,884
1074,884
1065,883
1052,885
1043,888
1043,888
1009,888
1041,889
1062,891
1067,893
1071,894
1070,895
1069,895
1069,896
1072,894
1072,893
1076,892
1078,892
1079,889
1078,888
1078,883
1077,878
1075,873
1070,866
1063,855
1056,846
1044,842
1035,837
1026,832
1016,827
1003,826
983,827
943,836
929,843
912,856
906,865
896,875
877,875
861,875
849,891
824,891
801,897
770,895
750,898
733,900
720,899
708,899
703,900
703,901
702,901
701,901
700,903
700,903
700,903
701,904
702,904
703,904
704,905
705,905
705,905
704,905
704,905
703,905
701,905
701,903
701,901
701,896
701,890
702,882
701,881
700,883
700,884
695,884
683,883
676,886
667,886
660,888
674,891
682,893
688,894
691,895
693,896
695,896
696,896
698,896
702,895
705,895
705,895
704,895
704,893
704,889
703,884
700,878
696,872
692,859
687,850
675,841
662,835
647,829
634,830
621,824
607,824
589,825
566,833
541,848
527,859
515,871
502,881
487,879
460,879
439,898
417,900
394,897
368,899
344,902
329,905
317,905
312,907
308,908
306,909
304,910
302,911
303,910
302,909
304,911
305,911
305,911
305,911
306,911
304,910
304,909
304,908
304,908
303,908
302,908
302,907
304,902
304,897
304,893
305,893
305,891
305,890
305,890
302,890
286,891
280,891
255,902
232,911
272,909
288,908
297,908
301,907
301,907
301,906
301,906
302,905
302,904
304,902
307,901
308,900
308,898
307,893
307,886
305,879
298,871
291,862
281,854
272,843
263,833
253,827
246,822
230,820
222,815
207,817
183,821
164,822
143,823
133,857
110,863
107,861
89,860
71,861
66,863
68,861
54,862
41,852
47,790
57,807
59,799
