X,Y
1866,524
1822,565
1801,581
1860,652
1856,603
1788,719
1745,750
1694,909
1693,911
1691,912
1691,914
1691,916
1690,917
1690,919
1689,919
1689,919
1689,918
1689,918
1689,919
1689,919
1687,918
1687,918
1690,915
1712,912
1718,910
1714,909
1711,909
1701,910
1692,911
1678,911
1670,909
1665,909
1671,907
1681,907
1686,908
1691,909
1692,910
1692,910
1692,911
1691,911
1690,911
1694,910
1696,905
1696,900
1695,894
1691,886
1680,874
1669,870
1656,868
1651,865
1641,860
1630,855
1624,851
1584,857
1583,852
1568,842
1562,847
1492,890
1363,892
1353,892
1342,892
1336,894
1332,897
1328,898
1325,899
1323,899
1324,898
1322,898
1321,898
1322,900
1323,902
1324,902
1324,902
1324,901
1325,900
1325,898
1315,886
1321,888
1321,889
1323,891
1323,892
1324,893
1328,895
1329,895
1330,895
1330,894
1330,894
1330,892
1330,889
1329,884
1324,879
1320,873
1312,865
1304,861
1279,844
1271,844
1259,841
1248,838
1236,837
1206,846
1198,846
1179,846
1111,880
1111,880
981,880
964,880
944,880
926,881
911,882
901,886
896,889
892,889
892,888
893,888
893,888
891,888
890,888
890,889
889,889
889,890
890,891
890,891
891,891
907,861
919,846
888,869
888,885
891,885
893,885
893,884
893,884
892,884
891,884
891,882
890,878
895,873
897,868
896,862
890,852
883,846
872,843
866,837
856,827
846,823
828,819
811,819
797,820
781,821
763,819
745,820
708,832
677,857
660,863
641,861
626,859
607,867
539,869
514,872
493,868
480,866
469,865
465,865
463,866
463,868
461,867
463,866
462,866
462,865
460,865
459,864
460,863
460,861
459,858
461,858
467,857
475,856
478,847
489,848
487,842
417,852
409,852
383,850
355,856
310,861
453,853
460,853
461,853
463,854
463,854
463,852
464,850
465,848
465,847
465,843
464,839
462,834
458,826
212,847
357,838
348,837
389,782
372,785
362,786
340,792
326,797
290,805
280,806
257,808
237,820
220,833
207,832
198,833
183,832
186,832
183,830
193,832
186,833
156,843
111,840
97,840
111,839
33,826
24,825
18,822
13,823
18,823
21,822
22,816
14,808
24,801
29,797
32,792
96,777
87,774
77,781
85,783
83,785
71,787
59,790
