X,Y
12,878
11,879
11,882
9,883
7,887
7,884
8,884
9,881
11,881
19,881
29,882
29,885
52,886
47,900
44,897
44,895
30,894
23,894
18,894
15,894
15,894
14,894
13,894
12,894
12,894
10,894
10,894
9,894
9,894
9,894
8,893
8,893
9,892
9,891
9,891
8,890
8,888
8,888
8,886
8,881
9,874
11,868
18,862
27,858
46,857
69,859
95,862
120,872
139,878
163,891
179,897
205,894
226,892
245,895
251,902
252,903
258,905
256,903
255,903
255,905
252,904
255,904
260,904
259,904
257,903
260,903
259,903
258,902
258,902
257,902
257,902
258,902
257,900
254,897
248,893
247,894
247,894
248,894
248,894
254,894
258,895
263,900
267,901
270,902
273,905
276,906
278,906
282,907
289,907
290,907
287,907
284,908
281,909
278,909
274,909
272,909
272,910
271,910
271,911
271,912
270,912
269,913
269,913
268,913
268,912
268,912
267,912
267,910
267,909
267,908
267,907
267,907
267,907
267,907
266,907
267,906
267,906
267,906
267,906
267,906
267,906
268,906
269,905
269,905
269,903
269,901
269,899
269,894
270,888
273,881
277,875
286,867
307,863
320,866
352,867
378,874
394,880
415,894
434,899
468,903
490,902
501,902
526,910
534,918
537,918
541,916
541,914
538,914
537,915
540,916
542,917
540,917
538,915
539,915
538,915
538,915
541,916
542,916
543,917
542,916
542,916
542,915
542,913
536,906
521,898
512,893
516,896
516,896
521,897
528,899
535,901
542,906
548,907
554,909
557,910
557,912
557,915
555,917
553,917
550,918
547,919
546,920
545,920
544,921
544,922
543,922
542,922
541,923
541,923
540,923
539,922
539,921
539,920
539,917
540,916
540,916
540,916
540,916
540,916
540,916
540,916
540,915
540,912
540,912
541,910
541,906
541,904
541,901
542,894
546,887
553,880
569,877
591,876
604,879
624,880
651,887
665,892
685,900
702,906
726,908
753,908
770,908
783,911
793,914
797,917
800,916
801,916
800,920
802,921
804,921
802,921
800,920
799,920
798,920
797,920
796,920
796,920
798,920
801,922
801,921
803,921
803,921
803,921
803,919
802,918
802,913
802,912
800,912
800,916
799,918
796,918
796,918
797,918
799,918
803,918
805,920
810,921
812,921
813,921
813,921
813,921
811,923
808,923
805,924
803,924
803,924
802,924
802,924
800,924
799,924
798,924
798,922
798,922
798,922
798,922
798,922
798,922
798,922
798,921
798,920
798,920
799,919
800,918
801,916
802,915
803,912
804,910
806,906
810,900
822,896
832,893
841,890
857,888
881,888
887,889
898,894
911,900
927,903
951,906
969,908
981,912
997,916
1010,918
1012,921
1012,921
1014,923
1013,927
1015,926
1014,926
1017,926
1016,926
1014,925
1012,925
1017,924
1018,923
1018,923
1017,921
1017,919
1015,919
1015,919
1014,919
1011,917
1009,915
1009,915
1008,915
1009,918
1008,918
1008,921
1012,921
1021,921
1025,921
1028,921
1027,922
1029,922
1028,923
1027,925
1023,927
1020,927
1019,927
1017,928
1015,929
1015,929
1014,930
1014,931
1014,931
1014,931
1014,931
1013,931
1012,931
1011,931
1011,931
1011,931
1012,930
1012,929
1013,927
1014,924
1016,920
1018,915
1019,908
1024,897
1034,893
1042,888
1060,888
1082,890
1099,890
1106,889
1120,890
1130,893
1145,896
1157,900
1172,907
1183,910
1195,911
1208,913
1218,913
1229,914
1235,918
1235,917
1239,918
1237,918
1235,918
1234,917
1236,915
1235,914
1234,914
1235,915
1236,916
1235,916
1235,916
1235,916
1236,915
1237,913
1237,913
1238,914
1238,915
1238,916
1238,918
1237,918
1235,917
1232,917
1231,917
1231,916
1231,916
1231,917
1231,917
1232,916
1237,916
1243,915
1246,916
1248,916
1248,916
1247,917
1247,918
1246,920
1245,921
1243,923
1243,924
1243,924
1242,925
1242,925
1241,926
1241,926
1241,926
1242,926
1243,926
1244,926
1243,925
1243,924
1244,922
1248,919
1250,916
1251,912
1252,907
1254,900
1258,898
1274,897
1292,898
1308,899
1313,895
1319,890
1325,891
1340,892
1353,894
1366,896
1384,897
1395,900
1398,900
1409,902
1420,905
1432,907
1439,908
1439,910
1437,910
1438,911
1439,911
1438,910
1439,910
1438,910
1441,909
1440,909
1441,910
1440,911
1440,910
1440,910
1440,909
1440,909
1439,909
1439,909
1439,909
1439,909
1440,910
1440,910
1440,910
1441,910
1441,910
1439,910
1438,910
1440,913
1440,915
1440,915
1441,915
1442,912
1447,912
1449,912
1453,910
1456,910
1456,910
1460,911
1461,911
1463,911
1462,913
1460,913
1457,913
1457,913
1452,914
1451,915
1451,916
1451,917
1454,919
1455,919
1459,919
1460,918
1460,918
1462,918
1466,916
1466,914
1465,908
1468,902
1473,897
1479,894
1505,893
1514,890
1515,886
1524,884
1530,886
1538,887
1547,892
1561,894
1571,894
1582,895
1590,893
1606,898
1622,900
1629,901
1640,905
1643,911
1642,913
1649,914
1649,914
1648,914
1647,914
1648,916
1646,916
1647,916
1648,916
1648,916
1647,915
1647,915
1646,915
1646,914
1646,914
1646,914
1646,914
1647,914
1648,914
1649,914
1649,914
1646,914
1645,914
1645,914
1646,914
1646,914
1650,911
1651,910
1653,910
1656,909
1657,909
1659,909
1662,910
1662,911
1661,911
1660,912
1660,912
1659,912
1659,913
1658,913
1658,913
1658,913
1658,913
1658,913
1657,913
1657,909
1659,906
1659,903
1660,897
1667,890
1675,885
1688,883
1708,880
1711,876
1713,879
1724,881
1738,882
1751,882
1760,884
1769,886
1780,888
1787,890
1795,892
1807,900
1820,909
1830,914
1831,917
1832,917
1835,918
1836,919
1838,919
1838,919
1839,918
1838,918
1840,917
1840,917
1840,919
1840,920
1839,920
1838,919
1838,919
1839,919
1839,919
1840,919
1841,918
1841,914
1841,914
1841,914
1841,914
1841,914
1840,913
1838,911
1838,911
1836,911
1834,910
1833,910
1833,907
1833,906
1836,907
1837,912
1845,911
1857,911
1857,911
1856,913
1855,914
1854,915
1858,912
1857,913
1856,917
1850,920
1847,921
1848,922
1844,923
1843,923
1842,923
1842,923
1842,922
1842,921
1843,921
