X,Y
90,848
89,849
91,849
91,849
92,848
91,850
91,850
92,848
91,848
90,848
89,849
86,849
86,849
86,850
86,850
86,851
86,851
86,851
86,851
81,840
74,829
57,848
59,844
63,844
79,845
97,845
111,843
112,842
110,841
117,841
115,841
109,843
108,843
101,846
101,849
101,851
100,851
98,850
98,850
100,849
100,847
100,845
102,844
103,844
105,840
104,838
106,837
109,834
108,828
114,825
136,825
152,826
171,826
183,831
181,833
193,838
201,840
223,842
244,845
252,847
250,852
260,852
280,852
303,852
311,862
328,862
333,859
350,858
369,857
374,857
376,860
381,863
383,866
381,866
379,866
380,866
380,866
380,866
382,866
380,864
380,863
379,863
376,862
376,862
367,862
375,863
378,864
381,865
384,868
384,869
384,870
384,870
384,869
384,868
389,868
389,867
389,860
386,853
379,852
371,853
371,853
372,858
382,866
396,866
403,866
417,865
417,865
412,864
416,864
414,863
412,860
411,860
415,858
415,857
423,857
415,858
421,858
421,858
420,858
437,861
424,860
422,859
413,857
409,854
410,853
410,851
410,848
417,845
419,839
432,837
449,838
452,834
467,835
480,842
493,852
519,859
516,865
529,868
549,868
574,867
585,872
559,871
634,870
532,879
510,884
580,887
514,888
507,886
665,886
679,885
681,886
683,886
678,886
678,886
680,886
677,887
679,887
681,888
680,889
679,890
679,890
680,890
681,891
679,890
678,890
678,889
673,886
675,882
680,879
677,873
666,872
661,874
662,874
672,875
681,875
686,873
688,870
697,870
697,868
696,869
695,870
705,871
704,875
755,885
795,887
796,888
769,888
718,887
691,885
687,883
690,879
695,875
692,873
692,871
693,866
694,859
695,856
698,852
706,850
718,850
739,849
750,849
769,851
783,858
794,867
809,873
821,881
833,879
839,878
859,877
878,878
895,884
895,883
922,885
946,889
956,893
958,896
967,898
968,898
971,898
974,898
980,899
979,898
981,898
872,892
933,894
965,898
971,900
975,902
977,902
979,902
978,901
977,901
976,898
977,898
978,898
978,898
978,898
978,894
976,890
975,883
964,873
948,875
953,877
953,879
966,887
978,890
988,890
995,890
1002,890
1005,890
1001,890
1013,909
1009,903
1003,901
996,901
992,899
1018,899
1084,899
1104,901
1080,901
1008,898
1105,904
1097,903
1087,903
1020,898
1100,900
1108,900
1115,900
1100,896
1003,880
1051,889
1102,897
1104,900
1031,872
1012,856
1018,853
1028,852
1031,855
1061,858
1085,867
1094,880
1106,888
1117,893
1133,894
1142,893
1151,891
1169,889
1179,886
1199,886
1210,894
1205,899
1222,897
1232,896
1249,896
1253,896
1253,898
1255,898
1256,899
1261,904
1262,904
1260,904
1260,903
1261,903
1259,903
1259,903
1261,903
1260,903
1260,902
1259,902
1259,902
1261,902
1261,902
1261,902
1260,902
1260,902
1259,901
1256,894
1252,886
1239,887
1232,882
1232,883
1235,884
1244,885
1256,887
1269,887
1274,888
1278,888
1277,889
1276,893
1274,893
1275,894
1274,897
1274,897
1278,897
1392,903
1310,901
1393,903
1303,901
1400,910
1292,910
1277,904
1326,909
1400,912
1403,914
1406,915
1405,914
1402,915
1405,916
1287,888
1376,900
1388,904
1288,876
1285,870
1296,866
1301,864
1310,858
1311,857
1335,862
1356,870
1367,877
1380,885
1391,896
1401,899
1407,901
1415,899
1416,899
1426,898
1428,898
1434,897
1434,897
1434,897
1461,897
1446,898
1454,898
1446,900
1499,905
1483,902
1468,896
1485,901
1477,900
1478,900
1514,900
1523,900
1537,900
1535,900
1528,898
1527,898
1526,898
1531,900
1533,900
1532,900
1531,907
1528,910
1526,912
1527,911
1527,909
1521,892
1520,890
1519,890
1522,891
1530,892
1533,895
1535,900
1538,900
1541,902
1542,902
1546,902
1546,902
1545,903
1546,904
1546,905
1545,906
1544,906
1542,906
1541,905
1541,904
1539,905
1539,905
1539,906
1540,907
1540,908
1540,908
1540,909
1541,909
1542,906
1544,904
1545,900
1545,898
1546,896
1547,893
1547,889
1546,889
1546,884
1549,877
1553,873
1560,871
1567,869
1578,871
1585,870
1594,872
1628,879
1639,891
1641,894
1645,894
1653,896
1655,895
1655,894
1660,895
1667,895
1676,896
1689,896
1697,897
1696,901
1703,903
1698,908
1696,903
1692,899
1690,898
1691,897
1695,898
1697,897
1700,897
1701,904
1707,903
1706,903
1706,903
1705,900
1704,899
1711,900
1711,897
1710,893
1711,893
1711,891
1711,891
1711,889
1711,890
1716,888
1717,889
1721,889
1723,893
1724,890
1727,887
1733,895
1735,896
1739,898
1746,900
1758,901
1751,898
1748,897
1748,899
1750,905
1758,908
1768,909
1771,909
1775,910
