X,Y
-44,766
-45,757
-43,776
-33,778
-19,810
-22,839
77,795
320,903
342,905
389,906
409,910
413,915
417,918
416,919
419,919
420,919
420,920
421,921
317,861
403,879
406,885
423,896
422,901
418,906
417,909
416,909
417,909
419,903
429,888
441,878
472,861
515,842
542,839
590,838
675,842
738,871
734,910
850,903
934,911
994,916
1015,918
1029,922
1034,926
1033,928
1037,929
1033,930
1035,931
1032,932
1027,930
1031,904
1040,910
1040,916
1040,920
1039,919
1039,918
1038,915
1040,907
1047,900
1072,878
1105,859
1132,845
1459,755
1494,867
1587,885
1562,902
1592,933
1662,920
1592,937
1578,934
1569,882
1549,853
1558,844
1608,732
1657,924
1665,924
1673,927
1671,929
1670,931
1669,931
1670,930
1670,928
1673,924
