X,Y
-24,823
135,895
64,870
41,863
105,873
153,891
182,889
255,890
328,898
359,903
416,903
452,905
463,907
472,909
467,911
467,911
466,911
464,910
466,912
462,912
455,904
457,901
478,895
553,886
600,886
667,887
727,888
751,888
778,888
788,894
789,895
502,866
516,839
533,824
565,820
613,815
645,815
724,860
774,867
803,876
856,895
958,895
989,894
1056,893
1097,896
1104,898
1110,903
1108,905
1110,909
885,823
908,806
927,801
1090,886
1086,883
1094,889
1115,885
1171,884
1130,885
1113,888
1110,891
1111,893
1111,892
1113,891
1112,887
1117,870
1141,848
1161,833
1201,817
1240,807
1261,811
1314,822
1368,827
1398,828
1452,852
1522,876
1562,885
1634,888
1700,881
1715,881
1742,886
1742,896
1739,897
1742,899
1740,900
1737,898
1679,881
1722,877
1735,884
1738,888
1740,888
1737,889
1739,886
1747,886
1751,877
1750,875
